P/E Ratio,PEG Ratio,Beta (5y),Beta (1y),Quick Ratio,Current Ratio,Debt to Equity,Debt to Assets,Net Debt to Capital
24.5,0.22,1.26,1.35,0.3,0.8,-377.1,62.5,43.5
17.3,0.1,0.78,0.95,1.4,1.6,8.9,4.4,-21.6
35.7,-5.26,0.99,1.07,3.9,4.4,9.5,8.0,-5.5
5.1,0.15,0.41,0.62,5.0,9.7,7.0,4.4,-44.7
142.8,0.99,0.9,1.07,2.7,2.8,3.7,2.8,-17.9
-24.1,-0.08,1.82,1.23,0.7,1.2,117.0,33.6,31.6
-26.4,-1.23,1.64,1.17,1.6,1.6,50.8,20.0,-4.0
-1.6,0.01,1.13,1.22,0.7,1.2,68.7,31.6,49.2
-29.2,-0.44,0.69,1.23,0.4,0.7,-701.7,93.6,54.8
-32.5,-0.77,1.4,1.55,2.4,2.5,0.8,0.5,-40.0
-15.9,0.0,1.65,1.55,1.2,1.7,46.6,28.8,15.6
57.9,0.2,0.45,1.13,9.4,9.8,0.4,0.4,-55.2
-23.7,0.11,0.46,1.06,2.5,3.8,2.8,2.3,-8.4
-102.2,-1.32,0.82,1.43,2.3,2.4,206.6,45.8,-8.3
807.4,-5.62,0.61,1.12,1.0,1.2,45.9,26.8,14.7
-66.7,-1.32,0.92,0.98,1.8,2.0,119.1,49.9,19.4
-56.2,-0.77,0.68,0.99,1.7,2.1,4.3,3.1,-6.0
36.6,-0.83,1.06,1.43,1.4,2.4,29.8,16.3,3.8
15.6,0.12,2.39,-1.46,0.6,0.7,93.7,31.5,5.1
25.2,1.22,1.27,1.24,3.9,4.2,112.7,37.8,-8.9
-8.4,-0.53,1.3,1.98,1.4,1.5,43.5,28.0,5.4
6.3,0.06,1.76,1.19,3.0,5.3,90.2,41.5,19.8
-3.2,0.0,0.94,1.26,0.7,0.8,92.1,35.1,50.0
16.6,0.1,0.74,0.92,0.9,1.7,0.7,0.3,-13.8
9.3,0.57,0.79,1.39,7.6,8.0,0.1,0.1,-59.6
18.7,0.97,0.84,1.49,1.9,2.6,20.7,14.5,1.1
-4.2,0.01,1.6,0.89,0.2,0.3,-4084.6,80.8,94.9
35.7,0.13,0.36,0.97,0.4,0.5,-91.0,99.3,12.2
-114.2,-1.97,1.05,1.5,1.3,1.4,-405.2,77.6,11.4
-752.6,7.88,1.61,1.73,2.2,2.4,4.4,3.0,-21.9
1.2,0.0,1.09,2.28,0.9,2.5,16.2,9.6,-32.4
-75.5,-1.3,0.92,1.0,0.9,1.0,121.4,29.6,0.5
-2.0,0.01,0.88,0.53,0.3,0.4,261.7,60.6,75.1
-108.7,0.46,1.05,1.53,1.9,2.1,61.2,23.5,-9.3
22.0,33.92,1.66,1.69,2.9,3.2,4.4,3.5,-10.2
-133.2,-1.74,1.27,1.46,4.6,5.0,9.0,7.1,-8.7
-810.5,9.48,1.14,0.39,1.8,2.0,77.9,35.4,5.9
12.6,-3.23,1.06,0.52,0.3,0.5,216.4,49.6,51.5
36.1,1.52,1.6,2.03,7.6,9.6,0.7,0.6,-14.1
25.7,0.09,1.94,1.42,0.7,1.1,300.1,35.1,23.5
340.4,2.71,1.07,1.38,2.5,2.8,4.8,3.1,-20.8
26.4,1.08,0.92,0.82,3.1,3.4,1.5,1.2,-9.4
-5.5,-0.12,1.44,1.99,0.8,2.1,-3053.9,55.1,68.5
-7.6,0.01,2.24,1.54,0.6,1.0,87.3,26.8,17.1
13.8,-0.8,1.09,1.12,1.0,1.4,44.0,11.6,28.5
15.6,0.18,0.69,0.8,1.0,1.1,190.2,41.7,27.0
15.7,12.25,1.31,1.24,0.7,1.1,177.1,48.9,21.3
-13.5,0.33,0.76,1.26,1.7,1.8,0.8,0.5,-13.1
-742.8,3.15,1.42,1.88,0.6,1.6,45.6,17.7,-5.9
11.4,0.0,0.69,0.98,1.7,2.0,46.5,30.6,13.9
-73.6,-2.64,0.87,0.7,1.4,1.5,-1193.0,59.0,-0.4
21.5,1.3,1.26,1.43,1.2,2.0,113.4,41.2,17.4
25.8,0.44,0.91,0.66,1.1,1.2,331.9,46.2,-0.1
